Aliment,Energie (kJ/100 g),Energie(kcal/100 g),Eau (g/100 g),Protéines (g/100 g),Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fructose (g/100 g),Galactose (g/100 g),Glucose (g/100 g),Lactose (g/100 g),Maltose (g/100 g),Saccharose (g/100 g),Autres sucres,Amidon (g/100 g),Fibres alimentaires (g/100 g),Polyols totaux (g/100 g),Cendres (g/100 g),Alcool (g/100 g),Acides organiques (g/100 g),AG saturés (g/100 g),AG monoinsaturés (g/100 g),AG polyinsaturés (g/100 g),AG butyrique (g/100 g),AG caproïque (g/100 g),AG  caprylique (g/100 g),AG caprique (g/100 g),AG laurique (g/100 g),AG  myristique (g/100 g),AG  palmitique (g/100 g),AG stéarique (g/100 g),AG oléique (g/100 g),AG linoléique (g/100 g),AG alphalinolénique (g/100 g),AG arachidonique (g/100 g),AG EPA (g/100 g),AG  DHA (g/100 g),Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Calcium (mg/100 g),Chlorure (mg/100 g),Cuivre (mg/100 g),Fer (mg/100 g),Iode (µg/100 g),Magnésium (mg/100 g),Manganèse (mg/100 g),Phosphore (mg/100 g),Potassium (mg/100 g),Sélénium (µg/100 g),Sodium (mg/100 g),Zinc (mg/100 g),Rétinol (µg/100 g),BetaCarotène (µg/100 g),Vitamine D (µg/100 g),Vitamine E (mg/100 g),Vitamine K (µg/100 g),Vitamine C (mg/100 g),Vitamine B1 ou Thiamine (mg/100 g),Vitamine B2 ou Riboflavine (mg/100 g),Vitamine B3 ou Niacine (mg/100 g),Vitamine B5 ou Acide pantothénique (mg/100 g),Vitamine B6 (mg/100 g),Vitamine B9 ou Folates totaux (µg/100 g),Vitamine B12 (µg/100 g)
Salade César au poulet (salade verte fromage croûtons sauce) préemballée,,,71.8,8.13,8.13,4.88,10,1.71,0.6,,0.51,"< 0,2",0.6,"< 0,2",3.17,2,,1.54,0,1.66,2.36,4.99,2.09,0.08,0.05,0.03,0.06,0.08,0.26,1.26,0.41,4.6,1.7,0.39,"< 0,01","< 0,01","< 0,01",40.7,0.75,100,483,0.11,0.5,< 20,19,0.15,150,300,< 20,301,0.69,27.9,627,"< 0,25",2.24,32,1.11,0.096,0.068,2.29,0.47,0.094,29.3,0.48
Soupe (aliment moyen),157,37.4,90.7,1.27,1.27,4.5,1.37,1.6,0.42,,0.4,0.15,0.11,0.72,2.1,1.02,0,1.05,0,0,0.57,0.54,0.18,0.022,0.014,0.0096,0.018,0.023,0.074,0.29,0.085,0.39,0.11,0.03,0.005,0.0087,0.011,7.47,0.75,27.8,454,0.04,0.27,16.5,7.19,0.064,24.9,108,9.35,296,0.18,15.2,1090,,0.48,6.98,5.04,0.05,0.036,0.49,0.23,0.1,15.8,0.24
Viande en sauce (aliment moyen),436,104,77.1,11.3,11.3,3.65,4.6,1.34,,,,,,,1.71,1.08,0,1.3,0,0.39,1.8,1.51,0.63,0.047,0.029,0.044,0.041,0.16,0.19,0.83,0.35,1.24,0.52,0.028,0.02,,0.005,49.8,0.85,17.1,471,0.064,1.13,7.06,14.2,0.07,142,198,6.17,341,2.4,12.1,542,0.23,0.81,,1.27,0.061,0.067,2.61,0.42,0.16,14.8,0.74
Meloukhia plat à base de boeuf et corete fait maison,783,189,67.7,10.6,10.6,1.2,14.7,1.2,,,,,,,0,4.7,0,1.6,0,traces,,,,,,,,,,,,,,,,,,23,0.93,51.3,,0.04,2.4,2.8,30.6,0.05,88,228,2.1,373,2,0,143,0,5.1,,1.5,0.03,0.14,1.36,0.32,0.12,20,0.66
Couscous au mouton,626,149,68.9,8.31,8.31,12.2,7.2,1.38,,,,,,,10.8,1.3,0,1.4,0,traces,,,,,,,,,,,,,,,,,,17.5,0.81,31.6,607,0.1,1.24,3,23.2,0.19,95.4,187,,322,1.22,0,724,0.14,0.4,,5,0.075,0.075,1.7,0.3,0.11,18,0.5
Couscous royal (avec plusieurs viandes) préemballé,553,132,69.2,7.69,7.69,14,4.53,1.57,0.46,,0.48,"< 0,1",0.31,0.28,12.5,2.1,0,1.33,0,traces,1.54,2.14,0.6,"< 0,01","< 0,01",0.0036,0.0036,0.014,0.067,0.84,0.31,1.93,0.52,0.07,0.0086,,"< 0,01",20,0.88,25.2,474,0.098,0.93,5.8,18.8,0.21,72.3,179,"< 2,58",345,1.02,10.6,700,0,0.4,,1.69,0.07,0.09,1.9,0.3,0.15,17.2,0.28
Couscous au poulet,547,130,66.9,7.5,7.5,15.6,3.85,2.87,,,,,,,12.8,1.47,0,1.24,0,traces,1.17,1.61,0.86,,,,,,,,,,,,,,,26.6,0.79,18.4,674,,0.86,3,18.4,,69,153,,307,,14,700,0.01,0.48,,4.05,0.08,0.09,1.9,0.3,0.14,19.1,0.13
Couscous à la viande préemballé,537,128,69.2,7.59,7.59,12.5,4.73,1.97,0.5,,0.6,"< 0,1",0.55,0.25,,2.53,0,1.33,0,traces,1.24,1.54,0.63,"< 0,05","< 0,05","< 0,05",0.003,0.007,0.059,0.7,0.35,,,0.067,,,,,0.78,25.2,474,0.098,,,18.8,0.21,,179,"< 2,58",313,1.02,,,,,,,,,,,,,
Tomate farcie,503,122,78.5,5.49,5.49,2,9.67,0.88,0.47,,0.41,"< 0,3","< 0,3","< 0,3",1.12,2.31,0,1.33,0,traces,3.24,4.16,1.08,"< 0,05","< 0,05","< 0,05",0.0085,0.0085,0.13,2.01,1.05,,,0.086,,,,42,0.7,18.4,,0.066,0.87,4,12.8,0.12,62,199,"< 2,2",280,0.75,10,,0.1,1.1,,7,0.06,0.06,0.9,,0.07,,
Chou farci préemballé,393,94.9,81.2,5.3,5.3,2,6.6,2,0.72,,0.88,"< 0,3","< 0,3",0.4,,3.13,0,1.44,0,traces,,,,,,,,,,,,,,,,,,,0.87,145,,0.23,,,41.4,0.65,,,5.33,350,0.8,,,,,,,,,,,,,
Tajine de mouton,550,132,73,12.8,12.8,4.5,6.83,2.4,,,,,,,2.1,< 1,0,1.5,0,traces,2.73,3.25,0.52,,,,,,,,,,,,,,,57.8,0.99,5.1,583,0.1,1.6,2,14.7,"< 0,1",102,211,1,394,3,4,700,"< 0,5",0.71,,"< 0,5",0.07,0.16,2.95,0.23,0.19,24,1.65
Tajine de poulet préemballé,534,127,72.7,7.54,7.54,14.4,3.7,6.8,3.1,,3.2,"< 0,2","< 0,2",0.5,2.3,3,0,1.7,0,traces,0.4,2.14,1,"< 0,01","< 0,01","< 0,01","< 0,01",0.011,0.016,0.29,0.082,2.14,0.85,0.15,"< 0,01","< 0,01","< 0,01",27.7,1.17,18,621,0.06,0.45,< 20,17,0.13,82,220,< 20,466,0.46,< 21,152,"< 0,25",1.27,7.32,"< 0,5",0.14,0.037,2.3,0.39,0.096,30.2,0.075
Légumes farcis (sauf tomate),292,69.8,81.1,6.4,6.4,3.6,3,2.59,,,,,,,1.01,1.4,0,1.2,0,traces,0.46,1.73,0.68,,,,,,,,,,,,,,,30.8,0.69,27.1,,0.1,0.56,6.4,14.1,0.096,77.6,184,2.58,277,0.63,10.3,93.2,0.088,0.55,,4.86,0.1,0.13,1.24,0.46,0.11,21.2,0.18
Poisson cuit (aliment moyen),604,144,69.3,23.5,23.5,0,5.52,0,0,,0.0015,0.0015,0.0015,0.0015,0.021,0,0,1.49,0,0,1.21,1.79,1.55,,,,,,0.21,0.76,0.17,0.55,,,,0.25,0.49,57.5,0.54,29.9,114,0.069,0.69,61.7,30,0.037,228,347,36.2,216,0.61,10.5,0.82,3.69,0.91,,0.96,0.11,0.12,5.27,0.59,0.33,17.7,3.87
Poisson blanc cuit (aliment moyen),454,107,74,22,22,0,2.18,0,0,,0,0,0,0,0.038,0,0,1.7,0,0,0.44,0.66,0.49,,,,,0.0042,0.053,0.28,0.064,0.36,0.09,0.021,0.021,0.12,0.19,63.6,0.88,30.3,139,0.051,0.38,63.5,27,0.026,192,296,32.3,354,0.58,8.18,1.5,1.59,0.71,,0.45,0.061,0.089,2.2,0.25,0.21,15,1.92
Poisson blanc de mer cuit (aliment moyen),449,106,74,22.1,22.1,0,2,0,0,,0,0,0,0,0.043,0,0,1.77,0,0,0.38,0.64,0.47,,,,,0.0042,0.051,0.26,0.06,0.37,0.091,0.021,0.021,0.12,0.18,61.3,0.98,27.6,156,0.05,0.37,68.3,26.6,0.014,189,294,33.7,392,0.56,7.82,1.77,1.19,0.71,,0.37,0.06,0.09,2.14,0.23,0.21,13.6,1.99
Paëlla,621,148,66.9,7.86,7.86,17.1,4.9,1.2,0.32,,0.43,"< 0,2","< 0,2",0.23,15.1,1.85,0,1.26,0,traces,1.28,1.08,0.55,"< 0,05","< 0,05","< 0,05","< 0,05",0.002,0.025,0.37,0.17,1.08,0.47,0.036,,0.025,0.023,22.8,0.87,38.7,482,0.11,0.69,4,25.4,0.13,90,148,< 10,343,0.68,5,125,"< 0,5",1.3,,1.95,0.073,0.45,2.6,0.42,0.12,18.8,1.1
Couscous au poisson,442,105,75.6,7.5,7.5,14.2,1.6,1.7,,,,,,,12.5,1.7,0,1.4,0,traces,0.2,0.3,0.9,,,,,,,,,,,,,,,15.6,0.84,24,,0.1,4.1,10,23,0.2,89,192,,337,0.4,0.9,1020,0.1,1.2,,7.6,0.1,0.1,,0.2,0.1,24,0.5
Sushi/Maki aux produits de la mer,722,171,60.3,6.69,6.69,26.9,3.7,4.93,1.76,"< 0,1",2.28,"< 0,1",0.31,0.58,19,0.9,traces,0.97,0,0.53,0.6,1.72,1.15,"< 0,01","< 0,01","< 0,01","< 0,01","< 0,01",0.07,0.4,0.12,1.36,0.73,0.16,"< 0,01",0.08,0.09,13.1,0.55,16,366,0.08,0.25,< 20,14,0.21,81,130,< 20,218,0.44,< 21,66.4,1.14,0.33,2.78,1.11,0.031,0.018,1.28,0.34,0.15,9.19,1.36
Ratatouille cuisinée préemballée,,,88,1.22,1.22,4.97,3.15,3.91,1.4,,1.5,"< 0,2","< 0,2",0.3,,2.03,,1.29,0,traces,0.47,2.08,0.46,"< 0,05","< 0,05",0.002,"< 0,05",0.0036,0.0088,0.39,0.061,0.51,0.2,0.06,"< 0,01","< 0,01","< 0,01",0.07,0.94,16.4,,0.074,0.38,3,18.6,0.13,22,295,< 10,369,0.17,10,373,0,1.56,,25.2,0.03,0.03,0.56,,0.04,18,
Gratin d'aubergine préemballé,,,80.9,1.95,1.95,5.45,8.68,3.8,,,,,,,,2.35,,0.9,0,traces,1.3,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,172,,,,,,,,,,,,,,
Gratin de choufleur préemballé,,,82.1,3,3,3.3,6.5,0.88,0.33,,0.38,,"< 0,3","< 0,3",2.42,1.3,,1.33,0,traces,4,1.31,0.16,0.22,0.088,0.06,0.14,0.17,0.56,1.59,0.5,1.26,0.14,0.016,,,,15.3,1.07,96.6,425,0.12,0.27,,10.7,"< 0,1",,147,,420,2.3,,,,,,,,,,,,,
Gratin de légumes,,,79.6,3.44,3.44,6.91,6.7,3.42,0.63,"< 0,1",0.66,1.58,0.1,0.45,1.65,1.7,,1.27,0,0.38,3.41,1.81,0.99,0.2,0.11,0.07,0.13,0.15,0.51,1.62,0.49,1.6,0.9,0.09,"< 0,01","< 0,01","< 0,01",19.7,0.57,83.1,,0.087,0.51,4.03,16.6,0.13,65.5,175,1.8,228,0.49,26.9,567,0.084,1.84,,12.6,0.051,0.072,0.46,0.27,0.11,41,0.12
Ravioli à la viande sauce tomate appertisé,401,95.3,79.1,4.22,4.22,12.5,2.83,2.23,0.68,,0.63,"< 0,2",0.25,0.67,7.4,1.41,0,1.31,0,traces,1.14,1.21,0.48,"< 0,01","< 0,01","< 0,01",0.0022,0.0033,0.066,0.67,0.21,0.87,0.41,0.068,0.0022,"< 0,0011","< 0,0056",41.4,0.96,25.3,542,0.074,1.09,5.5,13.8,0.24,60.9,169,"< 2,2",382,0.49,0,150,0.14,0.32,,1.22,0.37,0.27,1.25,0.4,0.15,3,traces
Lasagnes/cannelloni à la viande (bolognaise),562,134,74.3,6.29,6.29,13.5,5.72,2.84,0.65,,0.58,0.74,0.38,0.31,8.9,1.91,0,1.37,0,traces,2.55,1.51,0.75,0.009,0.009,0.007,0.018,0.029,0.12,0.72,0.32,1.13,0.34,0.054,0.0023,0.00059,0,24.3,0.97,44.8,,0.12,0.71,8.67,21,0.21,82.9,194,< 10,385,0.78,12,107,0.11,0.91,,2.57,0.064,0.1,1.19,0.31,0.12,7.49,0.45
Pâtes à la bolognaise (spaghetti tagliatelles…),487,116,69.5,5.32,5.32,13.6,4.07,2.64,0.7,,0.72,0.075,0.25,0.34,10.5,1.9,0,1.1,0,traces,1.42,1.34,0.77,,,,,,,,,,0.3,0.1,,,,11,0.83,14,,0.08,0.79,5,19.6,0.15,58.3,176,1.1,329,0.9,0,150,0,1.31,,4.22,0.05,0.05,1.1,0.4,0.14,9.05,0.32
Riz cantonais,691,164,62.9,5.46,5.46,23.6,4.94,1.28,"< 0,1",,0.075,"< 0,1","< 0,1",0.38,18.4,1.74,0,1.33,0,0,0.75,1.48,2.4,,,,,0.0033,0.013,0.41,0.21,1.11,1.33,0.042,0.0093,,,15.8,0.86,16.7,592,"< 0,1",0.4,2,8.47,0.1,60.6,78,1.18,361,0.5,4,60,"< 0,5",0.91,,0.97,0.12,0.051,1.1,0.18,0.085,33,0.14
Gratin de pâtes,750,179,64.7,7.06,7.06,16.4,9.2,2.19,"< 0,1","< 0,1",0.2,1.47,0.52,"< 0,1",11.9,1,0,1.4,0,0.23,4.85,2.84,0.84,0.23,0.14,0.09,0.16,0.2,0.67,2.53,0.7,2.53,0.71,0.12,0.01,"< 0,01","< 0,01",20.4,0.85,116,,0.05,0.4,5.4,20,0.1,137,124,4.9,340,0.88,67,0,0.3,0.34,,1.1,0.09,0.13,0.64,0.28,0.06,6,0.39
Lasagnes/cannellonis aux légumes préemballées cuits,431,103,74,2.75,2.75,11,4.85,4.75,1.48,,1.43,"< 0,1",0.74,1.11,,2.25,0,1.41,0,traces,1.5,2.45,0.79,,,,,,,,,,,,,,,5,0.57,,,,,,,,,,,222,,,,,,,,,,,,,,
Lasagnes/cannellonis au poisson préemballées,620,148,71.2,7.28,7.28,13,7.1,2.03,"< 0,3",,"< 0,3",,"< 0,3","< 0,3",,1.68,0,1.38,0,traces,2.5,1.88,1.51,,,,,,,,,,1.08,0.12,,,,,1.02,63,,,0.41,,,,,,,403,,,,,,,,,,,,,,
Pâtes fraîches farcies (ex : raviolis tortellinis ravioles du Dauphiné) au fromage cuites,951,226,51.3,10,10,26.8,8.3,4.4,"< 0,1",0.1,0.17,0.96,3.04,0.13,17.9,1.9,0,1.46,0,0.28,4.64,2.1,0.85,0.28,0.18,0.11,0.2,0.23,0.73,2.11,0.63,1.85,0.76,0.07,0.02,"< 0,01","< 0,01",36.2,0.79,72.3,,0.3,0.48,5.2,16.2,0.2,88.5,47.9,13,317,0.7,24.9,15,0.05,0.1,,0.2,0.029,0.047,0.29,0.27,0.04,7.47,0.18
Couscous de légumes préemballé,453,108,71.1,4.32,4.32,16.4,2.25,2.54,,,,,,,,2.24,0,2.07,0,traces,0.8,0.52,0.83,,,,,,,,,,0.76,0.072,,,,,0.73,,,,,,,,,,,274,,,,,,,,,,,,,,
Riz blanc avec poulet préemballé cuit,734,174,,4.23,4.44,31.5,3.19,3.48,,,,,,,,0.99,0,0.78,0,traces,0.52,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,312,,,,,,,,,,,,,,
Riz blanc avec légumes et viande préemballé cuit,700,166,,4.61,4.85,28.3,3.57,1.91,,,,,,,,0.98,0,0.85,0,0,0.69,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,338,,,,,,,,,,,,,,
Raviolis aux légumes sauce tomate appertisés,383,91.1,78.5,2.88,2.88,13.5,2.45,2.83,0.8,,0.7,"< 0,2",0.3,0.8,10.7,1.7,0,1.36,0,traces,0.48,0.98,0.98,"< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01",0.23,0.06,0.91,0.9,0.08,"< 0,01","< 0,01","< 0,01",2.74,0.76,15,517,0.11,1.1,< 20,16,0.15,32,280,< 20,300,0.21,< 21,1170,"< 0,25",0.85,9.31,"< 0,5",0.05,0.033,1.14,0.17,0.096,14.2,0.082
Pâtes fraîches farcies (ex : raviolis tortellinis) aux légumes préemballées cuites,654,156,64.6,5.19,5.19,20.9,4.9,1.9,0.3,,0.3,0.8,0.5,"< 0,4",19,3.7,0,0.83,0,traces,1.93,1.63,1.07,0.04,0.03,0.02,0.04,0.05,0.16,1.25,0.29,1.5,1.03,0.04,"< 0,01","< 0,01","< 0,01",28.5,0.49,50,304,0.1,0.51,< 20,15,0.2,75,76,< 20,195,0.48,< 21,119,"< 0,25",0.81,1.35,"< 0,5",0.057,0.066,0.24,0.32,0.038,42.4,0.49
Pâtes en sauce aux fromages (spaghetti tagliatelles…) préemballées,681,163,,7.17,7.17,15.9,7.4,5.85,,,,,,,,1.85,0,0.8,0,traces,4.35,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,310,,,,,,,,,,,,,,
Pâtes fraîches farcies (ex : raviolis tortellinis) aux légumes préemballées crues,1080,255,,9.4,9.4,41.4,5.06,3.14,,,,,,,,3.02,0,0.81,0,traces,1.74,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,339,,,,,,,,,,,,,,
Pâtes fraîches farcies (ex : raviolis tortellinis) cuites (aliment moyen),837,199,55.9,7.98,7.98,25.7,6.53,2.82,0.15,,0.21,0.96,1.42,0.21,20,2.52,0,1.25,0,0.18,2.88,2.1,1.11,0.12,0.08,0.052,0.096,0.11,0.37,1.46,0.49,1.86,1.02,0.072,0.013,0.0049,0.0049,30,0.72,54.9,326,0.18,0.6,8.32,17.2,0.23,86.7,83.1,13.4,287,0.64,15.5,78.5,0.12,0.36,0.75,0.23,0.092,0.055,0.56,0.33,0.047,14.2,0.36
Lasagnes/cannellonis aux légumes préemballés cuits,512,122,74.5,4.38,4.38,11.8,5.9,4.3,1.3,,1.3,1,0.4,0.3,7.5,traces,0,1.4,0,1.47,1.91,2.06,1.54,0.06,0.04,0.03,0.06,0.07,0.24,1,0.34,1.9,1.5,0.04,"< 0,01","< 0,01","< 0,01",11.2,0.6,76,422,0.1,0.62,< 20,20,0.21,85,240,< 20,238,0.54,< 21,531,"< 0,25",2.19,6.37,3.34,"< 0,015",0.063,"< 0,1",0.28,0.08,27,0.2
Lasagnes/cannellonis aux légumes et au fromage de chèvre préemballés cuits,749,179,65.6,7,7,14,10.2,2.3,0.38,,0.38,1.15,0.38,"< 0,2",11.5,1.4,0,1.49,0,0.36,5.23,3.04,1.13,0.19,0.17,0.17,0.54,0.31,0.75,2.16,0.78,2.82,1.04,0.08,0.01,"< 0,01","< 0,01",25.6,0.85,32,557,0.03,0.18,< 20,6.5,0.08,40,59,< 20,340,0.23,54,235,"< 0,25",1.14,13.7,0.67,0.041,0.089,0.35,0.36,0.047,39.5,0.18
Lasagnes/cannellonis au fromage et aux épinards préemballés,557,133,68.1,6.1,6.1,11.4,6.6,3.5,"< 0,3",,"< 0,3",,"< 0,3","< 0,3",,1.87,0,1.5,0,traces,3.1,2.46,0.66,,,,,,,,,,0.47,0.15,,,,,0.99,,,,,,,,,,,397,,,,,,,,,,,,,,
Soufflé au fromage,767,184,67.3,12.9,12.9,3.8,12.6,1.77,,,,,,,2.03,2.1,0,1.5,0,traces,7.37,3.85,0.69,,,,,,,,,,,,,,,118,0.92,226,,0.04,0.6,14.8,19.7,0.03,196,138,4.74,391,1.37,131,38,0.5,0.6,,1,0.05,0.24,0.53,0.58,0.06,20.1,0.6
Fromage pané au jambon,1100,263,52.6,17.4,17.4,15.3,14.6,1.5,,,,,,,13.8,< 1,0,3.15,0,traces,7.15,4.31,2.38,0.31,0.19,0.11,0.23,0.27,0.8,3.94,0.95,4.08,2.27,0.051,0.025,,,31.9,2.32,84.9,,"< 0,1",0.8,13,25.8,0.17,202,246,7,929,1.4,26,21,"< 0,5",4.1,,< 1,0.087,0.12,5.7,0.55,0.25,< 20,0.61
Cordon bleu préemballée,1030,247,50.2,15.2,15.2,15.1,13.1,2.05,0.19,"< 0,1",0.39,0.27,0.58,0.62,12.2,3.28,traces,2.55,0,0.57,3.02,5.74,3.7,0.11,0.08,0.06,0.1,0.11,0.35,1.45,0.54,5.32,3.34,0.35,"< 0,01","< 0,01","< 0,01",11.1,1.5,170,787,0.19,1.3,< 20,40,0.46,190,320,< 20,601,1.3,24.4,27,"< 0,25",3.35,7.45,"< 0,5",0.074,0.11,0.26,0.35,0.045,31.5,0.33
Pizza au fromage/Pizza margherita préemballée,951,226,49.3,8.93,9.09,29.6,7.64,2.72,0.63,0.13,0.7,"< 0,2",1.25,"< 0,2",17.6,1.67,0.02,2.23,0,traces,3.4,2.45,1.37,0.2,0.065,0.043,0.1,0.19,0.42,1.88,0.51,2.12,1.26,0.11,0,0,0,17.2,1.24,239,758,0.097,1.14,33.4,22.9,0.25,286,170,"< 4,5",493,1.52,64,97,0,1.29,9.7,5.5,0.24,0.17,1.3,0.21,0.086,40,0.55
Tarte aux légumes préemballée,902,216,57.4,5,5,21.8,11.7,3.2,,,,,,,,1.7,0,2,0,traces,6,4.28,0.91,0.12,0.077,0.051,0.12,0.15,0.49,4.15,0.84,,,0.15,,,,,0.98,104,,0.058,,,13.9,0.13,,242,2.95,392,0.62,,,,,,,,,,,,,
Pizza jambon fromage préemballée,917,218,45.3,10.3,10.3,28,6.69,2.91,0.59,,0.53,,1.79,"< 0,26",,2.34,0.069,2.84,0,traces,3.2,2.18,1,0.18,0.11,0.058,0.12,0.15,0.45,1.58,0.55,2.02,0.87,0.096,0.017,0,"< 0,01",20.3,1.5,174,770,"< 0,1",0.7,6,24.4,0.2,170,234,8,608,1.4,43,100,"< 0,5",1.1,,1.45,0.18,0.12,1.9,0.37,0.2,17,0.46
Tarte au fromage préemballée,1210,289,50.5,10.3,10.3,20.7,18,1.63,"< 0,3",,0.083,1.35,0.2,"< 0,28",17.5,1.57,0,1.95,0,traces,9.93,6.45,1.43,0.28,0.18,0.13,0.21,0.27,0.92,6.26,1.17,5.55,1.35,0.066,,,0.018,59.1,1.07,180,644,,0.54,,16,,151,110,,427,,66.2,,1.06,1.34,,0.21,0.05,0.16,,,0.07,13.7,0.46
Pizza à la viande type bolognaise préemballée,952,227,45,10.3,10.3,27.2,8.03,2.94,0.71,0.087,1.03,,1.11,"< 0,3",,2.16,0,2.38,0,traces,2.85,3.55,1.44,0.1,0.02,0.028,,0.083,0.17,1.6,0.85,,0.77,0.17,,0,0,19,1.32,144,,0.21,1.36,,27,0.32,211,189,,534,1.87,61,92,0,0.92,6.7,4.2,0.25,0.21,2.16,0.44,0.14,29,0.8
Burritos,709,170,62.5,8,8,14.3,8.5,1.9,0.76,,0.86,"< 0,2",0.29,"< 0,4",6.8,1.9,0,1.49,0,traces,4.33,2.93,0.87,0.081,0.063,0.027,0.072,0.081,0.41,2.33,1.08,2.93,0.7,0.11,0.052,"< 0,0045","< 0,0045",29.1,0.75,88,376,0.07,1.1,< 20,20,0.14,170,260,< 50,299,1.8,< 21,470,"< 0,5",0.58,8,6.5,0.098,0.07,1.7,0.26,0.11,14.9,1.36
Pizza au chorizo/salami préemballée,1040,248,48.2,10.4,10.4,26.5,10.7,3.29,0.9,,0.6,,1.6,"< 0,25",,2.04,0,2.08,0,traces,4.55,3.55,1.02,0.17,0.098,0.069,0.12,0.15,0.55,2.43,0.96,2.93,0.83,0.13,,,"< 0,01",5,1.54,135,,,,,,,,,,608,,,,,,,,,,,,,,
Pizza aux fruits de mer préemballée,843,200,,10.3,10.3,24.6,6.65,1.5,,,,,,,,0.5,0,1.25,0,0,2.5,2.23,1.63,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,500,,,,,,,,,,,,,,
Pizza aux légumes/Pizza 4 saisons préemballée,900,214,51.8,8.48,8.48,25.7,8,3.62,0.79,,0.79,"< 0,2",2.04,"< 0,2",21.3,2.81,0,1.93,0,traces,3.1,2.37,1.1,0.13,0.078,0.054,0.12,0.15,0.47,1.62,0.49,0.08,0.95,0.15,"< 0,01","< 0,01","< 0,01",19,1.1,120,689,0.1,0.61,< 20,20,0.25,130,200,< 20,439,0.92,29.7,153,"< 0,25",0.73,1.67,1.52,0.09,0.09,0.54,0.29,0.099,25.8,0.3
Pizza champignons fromage préemballée,915,217,,7.8,7.8,31.6,6.1,1.9,,,,,,,,2.4,0,1.13,0,traces,2.1,,,,,,,,,,,,,,,,,,1.13,,,,,,,,,,,450,,,,,,,,,,,,,,
Pizza 4 fromages préemballée,1120,267,42.6,13.1,13.1,28.2,10.5,2.61,0.53,0.11,0.44,0.15,1.38,"< 0,1",,2.7,0,2.42,0,0.48,5.51,3.19,1.04,0.32,0.2,0.12,0.23,0.28,0.83,2.55,0.8,2.84,0.88,0.15,0.01,"< 0,01","< 0,01",28.5,1.11,267,744,,0.81,8.8,22,,176,141,,444,,46,,0.05,1.08,,3.64,0.14,0.14,,,0.15,52.9,0.28
Pizza (aliment moyen),979,233,47.5,10.7,10.8,27.3,8.39,2.93,0.66,,0.6,0.14,1.46,0.1,,2.38,0.015,2.23,0,0.14,3.93,2.69,1.07,0.2,0.12,0.073,0.15,0.19,0.57,1.96,0.63,2.24,0.86,0.12,0.01,0.0036,0.005,20.8,1.27,196,726,,0.78,11,22.1,,181,187,,509,,41.4,,0.16,1.11,,3.37,0.17,0.13,,,0.16,35.2,0.39
Pizza jambon fromage champignons/pizza royale reine/regina préemballée,863,205,54.4,9.54,9.54,25.7,6.66,3.16,0.85,,0.78,"< 0,3",1.08,"< 0,28",21.2,2.3,0,1.86,0,traces,2.91,2.3,0.98,0.098,0.056,0.039,0.091,0.12,0.43,1.61,0.46,2.01,0.64,0.069,,,"< 0,01",15.6,1.3,155,661,0.1,0.7,11.2,20.1,0.25,174,211,6.5,524,1.16,27.5,,"< 0,5",1.18,,4.84,0.19,0.14,1.84,0.57,0.17,31,0.38
Tarte/Tourte aux poireaux préemballée,1020,243,54.5,5.76,5.76,21.6,14.3,2.34,"< 0,2",,0.6,1,0.4,"< 0,2",16,2.48,0,1.56,0,traces,7.72,4.54,1.44,0.21,0.14,0.1,0.18,0.23,0.81,4.91,0.95,4.28,1.29,0.13,0.017,"< 0,01","< 0,01",51.1,0.96,95,651,0.06,0.6,< 20,14,0.24,110,130,< 20,381,0.66,58.2,216,"< 0,25",1.28,14.6,"< 0,5",0.074,0.11,0.11,0.36,0.06,87.1,0.45
Tarte à la tomate préemballée,910,218,58.4,5.17,5.17,19.3,12.8,4.2,1.8,,1.7,"< 0,2",0.6,"< 0,2",13.9,2.9,0,1.56,0,traces,7.67,3.39,0.59,0.35,0.24,0.18,0.34,0.41,1.33,3.8,1.03,3.39,0.48,0.1,0.01,"< 0,01","< 0,01",32.6,0.8,21,551,0.05,0.77,< 20,16,0.33,64,280,< 20,318,0.28,81.5,551,,0.62,3.61,5.2,0.05,0.025,0.44,0.28,0.091,40.9,0.071
Crêpe/Galette complète (oeuf jambon fromage) préemballée,873,209,56.8,12.7,12.7,15.2,9.8,1.1,"< 0,2",,"< 0,2","< 0,2","< 0,2","< 0,2",9.8,4.5,0,2.55,0,0,6.02,2.59,0.76,0.26,0.17,0.12,0.22,0.26,0.94,3.07,0.98,2.59,0.56,0.052,0.044,"< 0,01",0.1,105,1.12,240,789,0.11,0.96,< 20,52,0.24,280,190,< 20,445,1.8,116,,"< 0,25",0.41,1.49,0.9,0.19,0.17,1.1,0.75,0.11,38.1,1.04
Tarte aux noix de SaintJacques préemballée,1110,266,,8.25,8.25,24.2,14.5,2.5,,,,,,,,3,0,1.12,0,0,5.9,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,449,,,,,,,,,,,,,,
